Id,Description,Claimant,Price,Office,Category
44,Avery 49,Aaron Bergman,2.88,Nunavut,Labels
45,Hoover Portapower™ Portable Vacuum,Jim Radford,4.48,Nunavut,Appliances
46,Timeport L7089,Annie Cyprus,125.99,Nunavut,Telephones and Communication
47,Avery 510,Annie Cyprus,3.75,Nunavut,Labels
48,Xerox 1881,Annie Cyprus,12.28,Nunavut,Paper
49,LX 788,Annie Cyprus,155.99,Nunavut,Telephones and Communication
50,"Cardinal Slant-D® Ring Binder, Heavy Gauge Vinyl",Annie Cyprus,8.69,Nunavut,Binders and Binder Accessories
51,"Memorex 4.7GB DVD-RAM, 3/Pack",Clay Rozendal,31.78,Nunavut,Computer Peripherals
52,Unpadded Memo Slips,Don Jones,3.98,Nunavut,Paper
53,"Adams Telephone Message Book W/Dividers/Space For Phone Numbers, 5 1/4""X8 1/2"", 300/Messages",Beth Thompson,5.88,Nunavut,Paper
54,"Eldon Expressions™ Desk Accessory, Wood Pencil Holder, Oak",Frank Price,9.65,Nunavut,Office Furnishings
55,Bell Sonecor JB700 Caller ID,Michelle Lonsdale,7.99,Nunavut,Telephones and Communication
56,Avery Arch Ring Binders,Ann Chong,58.1,Nunavut,Binders and Binder Accessories
57,APC 7 Outlet Network SurgeArrest Surge Protector,Ann Chong,80.48,Nunavut,Appliances
58,"Deflect-o RollaMat Studded, Beveled Mat for Medium Pile Carpeting",Joy Bell,92.23,Nunavut,Office Furnishings
59,Accessory4,Joy Bell,85.99,Nunavut,Telephones and Communication
60,Personal Creations™ Ink Jet Cards and Labels,Skye Norling,11.48,Nunavut,Paper
61,High Speed Automatic Electric Letter Opener,Barry Weirich,1637.53,Nunavut,"Scissors, Rulers and Trimmers"
62,Xerox 1966,Grant Carroll,6.48,Nunavut,Paper
63,Xerox 213,Grant Carroll,6.48,Nunavut,Paper
64,"Boston Electric Pencil Sharpener, Model 1818, Charcoal Black",Adrian Hane,28.15,Nunavut,Pens & Art Supplies
65,Hammermill CopyPlus Copy Paper (20Lb. and 84 Bright),Skye Norling,4.98,Nunavut,Paper
66,"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""",Skye Norling,6.35,Nunavut,Paper
67,Crate-A-Files™,Andrew Gjertsen,10.9,Nunavut,Storage & Organization
68,"Angle-D Binders with Locking Rings, Label Holders",Ralph Knight,7.3,Nunavut,Binders and Binder Accessories
69,"80 Minute CD-R Spindle, 100/Pack - Staples",Dorothy Wardle,39.48,Nunavut,Computer Peripherals
70,"Bush Westfield Collection Bookcases, Dark Cherry Finish, Fully Assembled",Dorothy Wardle,100.98,Nunavut,Bookcases
71,12-1/2 Diameter Round Wall Clock,Dorothy Wardle,19.98,Nunavut,Office Furnishings
72,SAFCO Arco Folding Chair,Grant Carroll,276.2,Nunavut,Chairs & Chairmats
73,"#10 White Business Envelopes,4 1/8 x 9 1/2",Barry Weirich,15.67,Nunavut,Envelopes
74,3M Office Air Cleaner,Beth Paige,25.98,Nunavut,Appliances
75,"Global Leather and Oak Executive Chair, Black",Sylvia Foulston,300.98,Nunavut,Chairs & Chairmats
76,Xerox 1936,Nicole Hansen,19.98,Nunavut,Paper
77,Xerox 214,Nicole Hansen,6.48,Nunavut,Paper
78,Carina Double Wide Media Storage Towers in Natural & Black,Nicole Hansen,80.98,Nunavut,Storage & Organization
79,Staples® General Use 3-Ring Binders,Beth Paige,1.88,Nunavut,Binders and Binder Accessories
80,Xerox 1904,Beth Paige,6.48,Northwest Territories,Paper
81,Luxo Professional Combination Clamp-On Lamps,Beth Paige,102.3,Northwest Territories,Office Furnishings
82,Xerox 217,Beth Paige,6.48,Northwest Territories,Paper
83,Revere Boxed Rubber Bands by Revere,Beth Paige,1.89,Northwest Territories,Rubber Bands
84,"Acco Smartsocket™ Table Surge Protector, 6 Color-Coded Adapter Outlets",Sylvia Foulston,62.05,Northwest Territories,Appliances
85,"Tennsco Snap-Together Open Shelving Units, Starter Sets and Add-On Units",Bryan Davis,279.48,Northwest Territories,Storage & Organization
86,Hon 4070 Series Pagoda™ Round Back Stacking Chairs,Joy Bell,320.98,Northwest Territories,Chairs & Chairmats
87,Xerox 1887,Joy Bell,18.97,Northwest Territories,Paper
88,Xerox 1891,Joy Bell,48.91,Northwest Territories,Paper
89,Avery 506,Alan Barnes,4.13,Northwest Territories,Labels
90,"Bush Heritage Pine Collection 5-Shelf Bookcase, Albany Pine Finish, *Special Order",Grant Carroll,140.98,Northwest Territories,Bookcases
91,"Lifetime Advantage™ Folding Chairs, 4/Carton",Grant Carroll,218.08,Northwest Territories,Chairs & Chairmats
92,Microsoft Natural Multimedia Keyboard,Grant Carroll,50.98,Northwest Territories,Computer Peripherals
93,"Staples Wirebound Steno Books, 6"" x 9"", 12/Pack",Delfina Latchford,10.14,Northwest Territories,Paper
94,"GBC Pre-Punched Binding Paper, Plastic, White, 8-1/2"" x 11""",Don Jones,15.99,Northwest Territories,Binders and Binder Accessories
95,Bevis Boat-Shaped Conference Table,Doug Bickford,262.11,Northwest Territories,Tables
96,"Linden® 12"" Wall Clock With Oak Frame",Doug Bickford,33.98,Northwest Territories,Office Furnishings
97,Newell 326,Doug Bickford,1.76,Northwest Territories,Pens & Art Supplies
98,Prismacolor Color Pencil Set,Jamie Kunitz,19.84,Northwest Territories,Pens & Art Supplies
99,Xerox Blank Computer Paper,Anthony Johnson,19.98,Northwest Territories,Paper
100,600 Series Flip,Ralph Knight,95.99,Northwest Territories,Telephones and Communication
101,Fellowes Recycled Storage Drawers,Allen Rosenblatt,111.03,Northwest Territories,Storage & Organization
102,Satellite Sectional Post Binders,Barry Weirich,43.41,Northwest Territories,Binders and Binder Accessories
103,Deflect-o DuraMat Antistatic Studded Beveled Mat for Medium Pile Carpeting,Doug Bickford,105.34,Northwest Territories,Office Furnishings
104,Avery 487,Carl Jackson,3.69,Northwest Territories,Labels
105,Bevis Round Conference Table Top & Single Column Base,Brendan Dodson,146.34,Northwest Territories,Tables
106,"GBC Twin Loop™ Wire Binding Elements, 9/16"" Spine, Black",Edward Hooks,15.22,Northwest Territories,Binders and Binder Accessories
107,Hanging Personal Folder File,Jamie Kunitz,15.7,Northwest Territories,Storage & Organization
108,"Bevis Round Conference Table Top, X-Base",Jamie Kunitz,179.29,Northwest Territories,Tables
109,5125,Michelle Lonsdale,200.99,Northwest Territories,Telephones and Communication
110,Electrix Halogen Magnifier Lamp,Michelle Lonsdale,194.3,Northwest Territories,Office Furnishings
111,Canon BP1200DH 12-Digit Bubble Jet Printing Calculator,Brendan Dodson,120.97,Northwest Territories,Office Machines
112,Fellowes Black Plastic Comb Bindings,Hunter Glantz,5.81,Northwest Territories,Binders and Binder Accessories
113,Polycom ViewStation™ Adapter H323 Videoconferencing Unit,Sylvia Foulston,1938.02,Northwest Territories,Office Machines
114,Hon GuestStacker Chair,Eugene Barchas,226.67,Northwest Territories,Chairs & Chairmats
115,Eldon® Wave Desk Accessories,Jim Radford,2.08,Northwest Territories,Office Furnishings
116,Sharp AL-1530CS Digital Copier,Carlos Soltero,499.99,Northwest Territories,Copiers and Fax
117,"Tennsco Lockers, Gray",Carlos Soltero,20.98,Northwest Territories,Storage & Organization
118,"Avery 4027 File Folder Labels for Dot Matrix Printers, 5000 Labels per Box, White",Carlos Soltero,30.53,Northwest Territories,Labels
119,Newell 323,Carlos Soltero,1.68,Northwest Territories,Pens & Art Supplies
120,Global Enterprise Series Seating High-Back Swivel/Tilt Chairs,Jim Radford,270.98,Northwest Territories,Chairs & Chairmats
121,Spiral Phone Message Books with Labels by Adams,Jim Radford,4.48,Northwest Territories,Paper
122,Crate-A-Files™,Grant Carroll,10.9,Northwest Territories,Storage & Organization
123,Bell Sonecor JB700 Caller ID,Grant Carroll,7.99,Northwest Territories,Telephones and Communication
124,Holmes 99% HEPA Air Purifier,Skye Norling,21.66,Northwest Territories,Appliances
125,Xerox 224,Doug Bickford,6.48,Northwest Territories,Paper
126,Xerox 1906,Grant Carroll,35.44,Northwest Territories,Paper
127,"GBC Pre-Punched Binding Paper, Plastic, White, 8-1/2"" x 11""",Muhammed MacIntyre,15.99,Northwest Territories,Binders and Binder Accessories
128,Xerox 188,Muhammed MacIntyre,11.34,Northwest Territories,Paper
129,Xerox 1932,Muhammed MacIntyre,35.44,Northwest Territories,Paper
130,GBC Linen Binding Covers,Doug Bickford,30.98,Northwest Territories,Binders and Binder Accessories
131,GBC Recycled Grain Textured Covers,Doug Bickford,34.54,Northwest Territories,Binders and Binder Accessories
132,"Sauder Facets Collection Library, Sky Alder Finish",Beth Thompson,170.98,Northwest Territories,Bookcases
133,"Fellowes Basic 104-Key Keyboard, Platinum",Ralph Knight,20.95,Northwest Territories,Computer Peripherals
134,Kensington 7 Outlet MasterPiece Power Center with Fax/Phone Line Protection,Carl Jackson,207.48,Northwest Territories,Appliances
135,O'Sullivan 3-Shelf Heavy-Duty Bookcases,Carl Jackson,58.14,Northwest Territories,Bookcases
136,G.E. Longer-Life Indoor Recessed Floodlight Bulbs,Dorothy Badders,6.64,Northwest Territories,Office Furnishings
137,Panasonic KX-P1150 Dot Matrix Printer,Dorothy Badders,145.45,Northwest Territories,Office Machines
138,Newell 327,Dorothy Badders,2.21,Northwest Territories,Pens & Art Supplies
139,Xerox 1893,Delfina Latchford,40.99,Northwest Territories,Paper
140,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",Julia West,243.98,Northwest Territories,Chairs & Chairmats
141,Eldon Radial Chair Mat for Low to Medium Pile Carpets,Julia West,39.98,Northwest Territories,Office Furnishings
142,"DAX Copper Panel Document Frame, 5 x 7 Size",Brad Eason,12.58,Northwest Territories,Office Furnishings
143,O'Sullivan 2-Shelf Heavy-Duty Bookcases,Thomas Seio,48.58,Northwest Territories,Bookcases
144,"Tenex 46"" x 60"" Computer Anti-Static Chairmat, Rectangular Shaped",Thomas Seio,105.98,Northwest Territories,Office Furnishings
145,"Wirebound Message Books, 2 7/8"" x 5"", 3 Forms per Page",Thomas Seio,7.04,Northwest Territories,Paper
146,"Memorex Slim 80 Minute CD-R, 10/Pack",Monica Federle,9.78,Northwest Territories,Computer Peripherals
147,Aluminum Document Frame,Monica Federle,12.22,Northwest Territories,Office Furnishings
148,"Memorex 80 Minute CD-R Spindle, 100/Pack",Michelle Lonsdale,43.98,Northwest Territories,Computer Peripherals
149,"Multi-Use Personal File Cart and Caster Set, Three Stacking Bins",Frank Price,34.76,Northwest Territories,Storage & Organization
150,Accessory36,Frank Price,55.99,Northwest Territories,Telephones and Communication
151,Xerox 20,Bryan Davis,6.48,Northwest Territories,Paper
152,Surelock™ Post Binders,Don Jones,30.56,Northwest Territories,Binders and Binder Accessories
153,Colorific® Watercolor Pencils,Carlos Soltero,5.16,Northwest Territories,Pens & Art Supplies
154,"*Staples* vLetter Openers, 2/Pack",Carlos Soltero,3.68,Northwest Territories,"Scissors, Rulers and Trimmers"
155,Hon 4700 Series Mobuis™ Mid-Back Task Chairs with Adjustable Arms,Nicole Hansen,355.98,Northwest Territories,Chairs & Chairmats
156,BoxOffice By Design Rectangular and Half-Moon Meeting Room Tables,Nicole Hansen,218.75,Northwest Territories,Tables
157,Eldon Econocleat® Chair Mats for Low Pile Carpets,Beth Thompson,41.47,Northwest Territories,Office Furnishings
158,Prang Drawing Pencil Set,Beth Thompson,2.78,Northwest Territories,Pens & Art Supplies
159,T39m,Beth Thompson,155.99,Northwest Territories,Telephones and Communication
160,Xerox 1982,Nicole Hansen,22.84,Northwest Territories,Paper
161,Xerox 1924,Carlos Soltero,5.78,Northwest Territories,Paper
162,Turquoise Lead Holder with Pocket Clip,Carlos Soltero,6.7,Northwest Territories,Pens & Art Supplies
163,Okidata ML395C Color Dot Matrix Printer,Dorothy Badders,1360.14,Northwest Territories,Office Machines
164,Global Enterprise Series Seating High-Back Swivel/Tilt Chairs,Muhammed MacIntyre,270.98,Northwest Territories,Chairs & Chairmats
165,Microsoft Internet Keyboard,Muhammed MacIntyre,20.97,Northwest Territories,Computer Peripherals
166,Xerox 1982,Don Miller,22.84,Northwest Territories,Paper
167,Global Ergonomic Managers Chair,Sylvia Foulston,180.98,Northwest Territories,Chairs & Chairmats
168,"Office Star - Contemporary Task Swivel chair with 2-way adjustable arms, Plum",Becky Castell,130.98,Northwest Territories,Chairs & Chairmats
169,Xerox 1971,Dorothy Wardle,4.28,Northwest Territories,Paper
170,Eldon Portable Mobile Manager,Dorothy Wardle,28.28,Northwest Territories,Storage & Organization
171,Accessory6,Dorothy Wardle,55.99,Northwest Territories,Telephones and Communication
172,Durable Pressboard Binders,Ann Chong,3.8,Northwest Territories,Binders and Binder Accessories
173,Fellowes 17-key keypad for PS/2 interface,Ann Chong,30.73,Northwest Territories,Computer Peripherals
174,StarTAC ST7762,Ann Chong,125.99,Northwest Territories,Telephones and Communication
175,Accessory21,Clay Rozendal,20.99,Northwest Territories,Telephones and Communication
176,Fellowes PB500 Electric Punch Plastic Comb Binding Machine with Manual Bind,Grant Carroll,1270.99,Northwest Territories,Binders and Binder Accessories
177,Staples 6 Outlet Surge,Brendan Dodson,11.97,Northwest Territories,Appliances
178,Recycled Eldon Regeneration Jumbo File,Carlos Daly,12.28,Northwest Territories,Storage & Organization
179,Verbatim DVD-R 4.7GB authoring disc,Alan Barnes,39.24,Northwest Territories,Computer Peripherals
180,Canon P1-DHIII Palm Printing Calculator,Alan Barnes,17.98,Northwest Territories,Office Machines
181,GBC Binding covers,Alan Barnes,12.95,Northwest Territories,Binders and Binder Accessories
182,Newell 323,Nicole Hansen,1.68,Northwest Territories,Pens & Art Supplies
183,"Global Stack Chair without Arms, Black",Cari Schnelling,25.98,Northwest Territories,Chairs & Chairmats
184,"Speediset Carbonless Redi-Letter® 7"" x 8 1/2""",Chad Cunningham,10.31,Northwest Territories,Paper
185,GBC Recycled Regency Composition Covers,Bryan Mills,59.78,Northwest Territories,Binders and Binder Accessories
186,Accessory29,Bryan Mills,20.99,Northwest Territories,Telephones and Communication
187,Newell 323,Adrian Hane,1.68,Northwest Territories,Pens & Art Supplies
188,SANFORD Major Accent™ Highlighters,Adrian Hane,7.08,Northwest Territories,Pens & Art Supplies
189,Polycom ViaVideo™ Desktop Video Communications Unit,Rick Reed,574.74,Northwest Territories,Office Machines
190,"Dixon Ticonderoga Core-Lock Colored Pencils, 48-Color Set",Heather Kirkland,36.55,Northwest Territories,Pens & Art Supplies
191,Accessory24,Fred Wasserman,55.99,Northwest Territories,Telephones and Communication
192,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",Becky Castell,51.75,Northwest Territories,Office Furnishings
193,Recycled Steel Personal File for Standard File Folders,Becky Castell,55.29,Northwest Territories,Storage & Organization
194,"Eldon Expressions™ Desk Accessory, Wood Pencil Holder, Oak",Beth Thompson,9.65,Northwest Territories,Office Furnishings
195,Accessory39,Claudia Miner,20.99,Northwest Territories,Telephones and Communication
196,Bell Sonecor JB700 Caller ID,Jack Lebron,7.99,Northwest Territories,Telephones and Communication
197,"#10- 4 1/8"" x 9 1/2"" Security-Tint Envelopes",Alan Barnes,7.64,Northwest Territories,Envelopes
198,GBC Standard Plastic Binding Systems Combs,Carlos Soltero,8.85,Northwest Territories,Binders and Binder Accessories
199,Xerox 1930,Clay Rozendal,6.48,Northwest Territories,Paper
200,Avery 474,Clay Rozendal,2.88,Northwest Territories,Labels
201,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",Julia West,880.98,Northwest Territories,Bookcases
202,Hewlett-Packard Deskjet 6122 Color Inkjet Printer,Alan Barnes,200.97,Northwest Territories,Office Machines
203,"IBM 80 Minute CD-R Spindle, 50/Pack",Joy Bell,20.89,Northwest Territories,Computer Peripherals
204,"Peel & Seel® Recycled Catalog Envelopes, Brown",Joy Bell,11.58,Northwest Territories,Envelopes
205,Avery 506,Joy Bell,4.13,Northwest Territories,Labels
206,Prang Drawing Pencil Set,Jack Lebron,2.78,Northwest Territories,Pens & Art Supplies
207,TDK 4.7GB DVD+RW,Anthony Johnson,14.48,Northwest Territories,Computer Peripherals
208,U.S. Robotics 56K Internet Call Modem,Anthony Johnson,99.99,Northwest Territories,Computer Peripherals
209,Xerox 190,Anthony Johnson,4.98,Northwest Territories,Paper
210,Standard Line™ “While You Were Out” Hardbound Telephone Message Book,Eugene Barchas,21.98,Northwest Territories,Paper
211,CF 888,Eugene Barchas,195.99,Northwest Territories,Telephones and Communication
212,Hewlett-Packard Deskjet 6122 Color Inkjet Printer,Thomas Seio,200.97,Northwest Territories,Office Machines
213,Dana Halogen Swing-Arm Architect Lamp,Bryan Mills,40.97,Northwest Territories,Office Furnishings
214,"SAFCO PlanMaster Heigh-Adjustable Drafting Table Base, 43w x 30d x 30-37h, Black",Bryan Mills,349.45,Northwest Territories,Tables
215,Lexmark Z25 Color Inkjet Printer,Eugene Barchas,80.97,Northwest Territories,Office Machines
216,Hon Multipurpose Stacking Arm Chairs,Sylvia Foulston,216.6,Northwest Territories,Chairs & Chairmats
217,Hon Olson Stacker Stools,Sylvia Foulston,140.81,Northwest Territories,Chairs & Chairmats
218,"Executive Impressions 14"" Two-Color Numerals Wall Clock",Carl Ludwig,22.72,Northwest Territories,Office Furnishings
219,12-1/2 Diameter Round Wall Clock,Julia West,19.98,Northwest Territories,Office Furnishings
220,Epson DFX5000+ Dot Matrix Printer,Don Jones,1500.97,Northwest Territories,Office Machines
221,"Fellowes Basic 104-Key Keyboard, Platinum",Mike Pelletier,20.95,Northwest Territories,Computer Peripherals
222,"Recycled Interoffice Envelopes with String and Button Closure, 10 x 13",Mike Pelletier,23.99,Northwest Territories,Envelopes
223,GBC Standard Therm-A-Bind Covers,Eugene Barchas,24.92,Northwest Territories,Binders and Binder Accessories
224,"80 Minute CD-R Spindle, 100/Pack - Staples",Ann Chong,39.48,Northwest Territories,Computer Peripherals
225,Xerox 1892,Ann Chong,38.76,Northwest Territories,Paper
226,Staples Paper Clips,Charles McCrossin,2.47,Northwest Territories,Rubber Bands
227,"Metal Folding Chairs, Beige, 4/Carton",Annie Cyprus,33.94,Northwest Territories,Chairs & Chairmats
228,"80 Minute Slim Jewel Case CD-R , 10/Pack - Staples",Annie Cyprus,8.33,Northwest Territories,Computer Peripherals
229,Computer Printout Paper with Letter-Trim Perforations,Carlos Soltero,18.97,Northwest Territories,Paper
230,Bush Mission Pointe Library,Doug Bickford,150.98,Northwest Territories,Bookcases
231,Hon Olson Stacker Stools,Carlos Daly,140.81,Northwest Territories,Chairs & Chairmats
232,Xerox 1929,Fred Wasserman,22.84,Northwest Territories,Paper
233,Home/Office Personal File Carts,Fred Wasserman,34.76,Northwest Territories,Storage & Organization
234,Avery 507,Sylvia Foulston,2.88,Northwest Territories,Labels
235,i470,Michelle Lonsdale,205.99,Northwest Territories,Telephones and Communication
236,3M Organizer Strips,Sylvia Foulston,5.4,Northwest Territories,Binders and Binder Accessories
237,"Imation 3.5 IBM Diskettes, 10/Box",Sylvia Foulston,8.46,Northwest Territories,Computer Peripherals
238,"GE 4 Foot Flourescent Tube, 40 Watt",Sylvia Foulston,14.98,Northwest Territories,Office Furnishings
239,300 Series Non-Flip,Sylvia Foulston,155.99,Northwest Territories,Telephones and Communication
240,"Executive Impressions 13"" Chairman Wall Clock",Charlotte Melton,25.38,Northwest Territories,Office Furnishings
241,Micro Innovations 104 Keyboard,Barry French,10.97,Northwest Territories,Computer Peripherals
242,US Robotics 56K V.92 External Faxmodem,Heather Kirkland,99.99,Northwest Territories,Computer Peripherals
243,Fellowes Staxonsteel® Drawer Files,Heather Kirkland,193.17,Northwest Territories,Storage & Organization
244,Accessory39,Heather Kirkland,20.99,Northwest Territories,Telephones and Communication
245,Telescoping Adjustable Floor Lamp,Henry Goldwyn,19.99,Northwest Territories,Office Furnishings
246,Canon MP41DH Printing Calculator,Frank Price,150.98,Northwest Territories,Office Machines
247,"Sauder Facets Collection Locker/File Cabinet, Sky Alder Finish",Jim Radford,370.98,Northwest Territories,Storage & Organization
248,VTech VT20-2481 2.4GHz Two-Line Phone System w/Answering Machine,Jim Radford,179.99,Northwest Territories,Telephones and Communication
249,"Memo Book, 100 Message Capacity, 5 3/8” x 11”",Ralph Knight,6.74,Northwest Territories,Paper
250,Belkin 6 Outlet Metallic Surge Strip,Delfina Latchford,10.89,Northwest Territories,Appliances
251,Xerox 21,Delfina Latchford,6.48,Northwest Territories,Paper
252,GBC DocuBind TL200 Manual Binding Machine,Roy Skaria,223.98,Northwest Territories,Binders and Binder Accessories
253,"Sauder Forest Hills Library, Woodland Oak Finish",Roy Skaria,140.98,Northwest Territories,Bookcases
254,Xerox 1940,Monica Federle,54.96,Northwest Territories,Paper
255,Bagged Rubber Bands,Monica Federle,1.26,Northwest Territories,Rubber Bands
256,Xerox 1897,Charles McCrossin,4.98,Northwest Territories,Paper
257,Poly Designer Cover & Back,Don Miller,18.99,Northwest Territories,Binders and Binder Accessories
258,Bionaire Personal Warm Mist Humidifier/Vaporizer,Jeremy Lonsdale,46.89,Northwest Territories,Appliances
259,"Acme® 8"" Straight Scissors",Jeremy Lonsdale,12.98,Northwest Territories,"Scissors, Rulers and Trimmers"
260,Heavy-Duty E-Z-D® Binders,Grant Carroll,10.91,Northwest Territories,Binders and Binder Accessories
261,Hammermill CopyPlus Copy Paper (20Lb. and 84 Bright),Carl Ludwig,4.98,Northwest Territories,Paper
262,Deluxe Rollaway Locking File with Drawer,Carlos Daly,415.88,Northwest Territories,Storage & Organization
263,252,Ralph Knight,65.99,Northwest Territories,Telephones and Communication
264,6160,Cindy Schnelling,115.99,Northwest Territories,Telephones and Communication
265,"Imation 3.5, DISKETTE 44766 HGHLD3.52HD/FM, 10/Pack",Claudia Miner,5.02,Northwest Territories,Computer Peripherals
266,Prismacolor Color Pencil Set,Roy Skaria,19.84,Northwest Territories,Pens & Art Supplies
267,Wilson Jones DublLock® D-Ring Binders,Delfina Latchford,6.75,Northwest Territories,Binders and Binder Accessories
268,Binder Posts,Edward Hooks,5.74,Northwest Territories,Binders and Binder Accessories
269,Epson LQ-570e Dot Matrix Printer,Edward Hooks,270.97,Northwest Territories,Office Machines
270,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",Don Miller,260.98,Northwest Territories,Bookcases
271,Fellowes PB300 Plastic Comb Binding Machine,Grant Carroll,387.99,Northwest Territories,Binders and Binder Accessories
272,Rush Hierlooms Collection Rich Wood Bookcases,Grant Carroll,160.98,Northwest Territories,Bookcases
273,Avery 481,Brad Eason,3.08,Northwest Territories,Labels
274,Sharp AL-1530CS Digital Copier,Charles McCrossin,499.99,Northwest Territories,Copiers and Fax
275,"SAFCO Commercial Wire Shelving, Black",Charles McCrossin,138.14,Northwest Territories,Storage & Organization
276,"Avery Trapezoid Extra Heavy Duty 4"" Binders",Charles McCrossin,41.94,Northwest Territories,Binders and Binder Accessories
277,Self-Adhesive Address Labels for Typewriters by Universal,Charles McCrossin,7.31,Northwest Territories,Labels
278,StarTAC Series,Bryan Mills,65.99,Northwest Territories,Telephones and Communication
279,"Rediform Wirebound ""Phone Memo"" Message Book, 11 x 5-3/4",Monica Federle,7.64,Northwest Territories,Paper
280,Dana Halogen Swing-Arm Architect Lamp,Michelle Lonsdale,40.97,Northwest Territories,Office Furnishings
281,Global Comet™ Stacking Armless Chair,Michelle Lonsdale,299.05,Northwest Territories,Chairs & Chairmats
282,Hon 4070 Series Pagoda™ Armless Upholstered Stacking Chairs,Michelle Lonsdale,291.73,Northwest Territories,Chairs & Chairmats
